round_number,rank,team_name,rounds_played,rounds_won,rounds_drawn,rounds_lost,matches_played,matches_won,matches_lost,matches_won_percent,points
24,16,Team 016,24,1,2,21,384,88,296,22.92,4
25,1,Team 001,25,25,0,0,400,344,56,86.0,50
25,2,Team 012,25,17,3,5,400,237,163,59.25,37
25,3,Team 004,25,18,0,7,400,270,130,67.5,36
25,4,Team 008,25,16,4,5,400,223,177,55.75,36
25,5,Team 011,25,15,5,5,400,239,161,59.75,35
25,6,Team 003,25,16,2,7,400,248,152,62.0,34
25,7,Team 007,25,17,0,8,400,233,167,58.25,34
25,8,Team 014,25,13,5,7,393,219,174,55.73,31
25,9,Team 006,25,14,0,11,400,196,204,49.0,28
25,10,Team 005,25,10,3,12,400,209,191,52.25,23
25,11,Team 015,25,6,3,16,400,173,227,43.25,15
25,12,Team 010,25,6,1,18,400,140,260,35.0,13
25,13,Team 009,25,4,1,20,400,138,262,34.5,9
25,14,Team 013,25,4,0,21,400,114,286,28.5,8
25,15,Team 002,25,2,2,21,393,114,279,29.01,6
25,16,Team 016,25,1,3,21,400,96,304,24.0,5
26,1,Team 001,26,26,0,0,416,358,58,86.06,52
26,2,Team 004,26,19,0,7,416,281,135,67.55,38
26,3,Team 011,26,16,5,5,416,248,168,59.62,37
26,4,Team 012,26,17,3,6,416,244,172,58.66,37
26,5,Team 008,26,16,4,6,416,228,188,54.81,36
26,6,Team 003,26,16,3,7,416,256,160,61.54,35
26,7,Team 007,26,17,0,9,416,235,181,56.5,34
26,8,Team 014,26,14,5,7,409,232,177,56.73,33
26,9,Team 006,26,14,0,12,416,202,214,48.56,28
26,10,Team 005,26,10,4,12,416,217,199,52.17,24
26,11,Team 015,26,7,3,16,416,187,229,44.96,17
26,12,Team 010,26,6,1,19,416,143,273,34.38,13
26,13,Team 009,26,4,1,21,416,140,276,33.66,9
26,14,Team 002,26,3,2,21,409,124,285,30.32,8
26,15,Team 013,26,4,0,22,416,120,296,28.85,8
26,16,Team 016,26,2,3,21,416,106,310,25.49,7
27,1,Team 001,27,27,0,0,432,371,61,85.88,54
27,2,Team 011,27,17,5,5,432,263,169,60.88,39
27,3,Team 012,27,18,3,6,432,256,176,59.26,39
27,4,Team 004,27,19,0,8,432,284,148,65.75,38
27,5,Team 008,27,17,4,6,432,239,193,55.33,38
27,6,Team 003,27,17,3,7,432,269,163,62.27,37
27,7,Team 007,27,17,0,10,432,239,193,55.33,34
27,8,Team 014,27,14,5,8,425,237,188,55.77,33
27,9,Team 006,27,14,0,13,432,203,229,47.0,28
27,10,Team 005,27,11,4,12,432,229,203,53.01,26
27,11,Team 015,27,8,3,16,432,199,233,46.07,19
27,12,Team 010,27,6,1,20,432,147,285,34.03,13
27,13,Team 009,27,5,1,21,425,145,280,34.12,11
27,14,Team 002,27,3,2,22,418,128,290,30.63,8
27,15,Team 013,27,4,0,23,432,123,309,28.48,8
27,16,Team 016,27,2,3,22,432,110,322,25.47,7
28,1,Team 001,28,28,0,0,448,386,62,86.17,56
28,2,Team 012,28,19,3,6,448,265,183,59.16,41
28,3,Team 008,28,18,4,6,448,253,195,56.48,40
28,4,Team 003,28,18,3,7,448,285,163,63.62,39
28,5,Team 011,28,17,5,6,448,269,179,60.05,39
28,6,Team 004,28,19,0,9,448,291,157,64.96,38
28,7,Team 007,28,18,0,10,448,248,200,55.36,36
28,8,Team 014,28,14,5,9,441,238,203,53.97,33
28,9,Team 006,28,14,0,14,448,210,238,46.88,28
28,10,Team 005,28,12,4,12,448,239,209,53.35,28
28,11,Team 015,28,9,3,16,448,211,237,47.1,21
