index,affiliation,application_type,prof_category_1,prof_category_2,employment_type,expected_experience,location,prof_name,subscr_product_name,gross_monthly_salary HUF,gross_monthly_salary EUR,language_nationality,language_level
171,Groupama Biztosító Zrt.,website,"HR, Human Relations","Recruitment, Selection",full time,1-3 years,"Pest_county,_Budapest",Toborzás és kiválasztási specialista,pro_plus,,,english,intermediate
172,Workcon Pro Kft,website,Skilled Labour,"Shop Assistant, Cashier",full time,not required,"Pest_county,_Budapest",Jegypénztáros,optimum,,,none,none
173,Diciannove Kft.,website,"Sales, Trade",Real Estate Agent,full time,not required,"Pest_county,_Budapest",Ingatlanközvetítő,pro_plus,454545.0,1127.9032258064517,none,none
174,Éltex Kft.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,1-3 years,"Pest_county,_Budapest",Targoncás hulladékkezelő/ Válogató,start_prem,525000.0,1302.72952853598,none,none
175,Hungary Helps Ügynökség Nonprofit Zrt.,website,IT Development,Project Management,full time,1-3 years,"Pest_county,_Budapest",Projektmenedzser,optimum,,,english,intermediate
176,Fireeng Kft,website,Engineer,Civil Engineer,full time,not required,"Pest_county,_Budapest",Tűzvédelmi tervező,pro_plus,,,none,none
177,FINE SERVICE Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő és pénzügyes,optimum,,,none,none
178,CIKLÁMEN-TOURIST Zrt.,website,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,"Pest_county,_Budapest",Valutapénztáros,start_prem,568181.0,1409.87841191067,none,none
179,Pálhalmai Agrospeciál Kft.,website,Skilled Labour,Other Skilled Work,full time,3-5 years,"Pest_county,_Budapest",Karbantartó,start_prem,555000.0,1377.1712158808932,none,none
180,Nemzeti Népegészségügyi és Gyógyszerészeti Központ,website,"Healthcare, Pharmaceutical Industry",Pharmacist,full time,1-3 years,Budapest,Farmakovigilancia értékelő,optimum,,,english,intermediate
181,Profession Services,website,"Finance, Accounting",Accounting,full time,1-3 years,"Pest_county,_Budapest",Könyvelő,pro_plus,,,none,none
182,WALLIS MOTOR PEST Kft,website,"Sales, Trade",Sales Representative,full time,5-10 years,"Pest_county,_Budapest",Használtgépjármű értékesítési vezető,optimum,,,english,intermediate
183,ShiwaForce.com Zrt.,karrierlink,"IT Operation, Telecommunication",Network and System Engineer,full time,3-5 years,"Pest_county,_Budapest",Devops/Cloud Engineer,optimum,,,english,intermediate
184,Pátria Nyomda Zrt.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,1-3 years,"Pest_county,_Budapest",Targoncavezető,start_prem,,,none,none
185,Pátria Nyomda Zrt.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,1-3 years,"Pest_county,_Budapest",Raktáros,start_prem,,,none,none
186,Gangel Bespoke Tailoring Kft.,website,Skilled Labour,"Tailor, Sewer",full time,1-3 years,"Pest_county,_Budapest",Férfi szabó / szabónő,start_prem,550000.0,1364.7642679900744,none,none
187,Magyar Éremkibocsátó Kft.,website,"Sales, Trade",Sales Representative,full time,1-3 years,"Pest_county,_Budapest",Értékesítési referens,optimum,,,none,none
188,MOHU BUDAPEST Zrt.,website,Engineer,Electrical Engineer,full time,starter,"Pest_county,_Budapest",Junior energetikai adatelemző-mérnök,optimum,,,english,basic
189,MOHU MOL Hulladékgazdálkodási Zrt.,karrierlink,"Manufacturing, Production","Health and Safety Management, Security Management",full time,3-5 years,"Pest_county,_Budapest",Munkavédelmi szakértő,optimum,,,english,intermediate
190,TATA Consultancy Services Hungary,website,Business Supporting Centres,IT Support,full time,not required,Pest_county,German Speaking Service Desk Analyst (Level 1),optimum,,,english,intermediate
191,ShiwaForce.com Zrt.,karrierlink,IT Development,"Programmer, Developer",full time,3-5 years,"Pest_county,_Budapest",Medior Java Developer,optimum,,,english,intermediate
192,OPTIMALL Optika Kft.,website,"Sales, Trade",Regional Sales Representative,full time,1-3 years,Országos,Értékesítő,optimum,,,none,none
193,Luxoya Paris Kft.,website,Engineer,Food Engineer,full time,3-5 years,"Pest_county,_Budapest",Head of Nutrition,pro_plus,,,english,intermediate
194,ATALIAN Zrt.,website,"Transportation, Procurement, Logistics","Economization, Procurement",full time,3-5 years,"Pest_county,_Budapest",Beszerző munkatárs,optimum,,,english,intermediate
195,MOL Nyrt.,karrierlink,"Finance, Accounting","Analyst, Advisor",full time,not required,"Pest_county,_Budapest",E&P financial valuation analyst,optimum,,,english,higheradvanced
196,MOL Nyrt.,karrierlink,"Finance, Accounting",Tax Advisor,full time,3-5 years,"Pest_county,_Budapest",Group Transfer Pricing Expert,optimum,,,english,higheradvanced
197,LEMEZMÁNIA Kft.,website,Skilled Labour,Other Skilled Work,full time,not required,"Pest_county,_Budapest",Élhajlító/raktáros,optimum,,,none,none
198,Fireeng Kft,website,Engineer,Civil Engineer,full time,not required,"Pest_county,_Budapest",Tűzvédelmi tervező,pro_plus,,,none,none
199,FINE SERVICE Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő és pénzügyes,optimum,,,none,none
200,ATALIAN Zrt.,website,"Law, Legal Advisory","Solicitor, Legal Advisor, Legal Counsellor",full time,3-5 years,"Pest_county,_Budapest",Jogtanácsos,optimum,,,english,intermediate
201,Tesco Global Áruházak Zrt.,karrierlink,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,"Pest_county,_Budapest",Vevőszolgálati specialista,optimum,,,hungarian,intermediate
202,Nexus Constructions Kft.,website,"Manual Work, Unskilled Work, Trained Work",Machine Operator,full time,1-3 years,Pest_county,Önálló Villanyszerelő,pro_plus,719696.0,1785.8461538461538,none,none
203,Nexus Constructions Kft.,website,Skilled Labour,Other Skilled Work,full time,3-5 years,Pest_county,Szerelésvezető (elektromos),pro_plus,871212.0,2161.8163771712157,none,none
204,Nova HR,ats,"Marketing,  Media, PR",Marketing,full time,3-5 years,"Pest_county,_Budapest",Retail Marketing Manager,optimum,,,english,intermediate
205,UV Zrt.,website,"Building Industry, Real Estate",Property Manager,full time,1-3 years,"Pest_county,_Budapest",Közös képviselő,optimum,,,none,none
206,VOIS,karrierlink,IT Development,"Programmer, Developer",full time,5-10 years,Budapest,Senior Frontend Developer,pro_plus,,,english,higheradvanced
207,bp Finance Business & Technology (FBT),karrierlink,Business Supporting Centres,"Client Support, Administration",full time,1-3 years,"Pest_county,_Budapest",Senior Customer Service Representative- Dutch Speaking- Fixed-term- Part-time,pro_plus,,,english,intermediate
208,bp Finance Business & Technology (FBT),karrierlink,Business Supporting Centres,Financial Support,full time,not required,"Pest_county,_Budapest",Credit Control Analyst- Polish Speaking,pro_plus,,,english,intermediate
209,bp Finance Business & Technology (FBT),karrierlink,Business Supporting Centres,Financial Support,full time,1-3 years,"Pest_county,_Budapest",Credit Control Analyst (German Speaking),pro_plus,,,english,intermediate
210,bp Finance Business & Technology (FBT),karrierlink,"Finance, Accounting",Project Management,full time,5-10 years,"Pest_county,_Budapest",PowerBI and SQL Developer,pro_plus,,,english,higheradvanced
211,Weinberg'93 Kft,website,"Building Industry, Real Estate",Project Management,full time,5-10 years,Országos,Projektvezető (generálkivitelezés),pro_plus,,,english,intermediate
212,PYRONOVA IS HUNGÁRIA KFT.,website,"Building Industry, Real Estate","Building Industry, Head of Real Estate",full time,1-3 years,Pest_county,Szerviztechnikus (Tűzvédelem),optimum,,,none,none
213,Process Solutions Kft.,website,"Finance, Accounting",Accounting,full time,1-3 years,"Pest_county,_Budapest",Tapasztalt Könyvelő,optimum,,,english,intermediate
214,APEX PHARMA Kft.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,not required,"Pest_county,_Budapest",Raktáros,start_prem,,,none,none
215,Budapesti Erőmű Zártkörűen Működő Részvénytársaság,website,"Building Industry, Real Estate",Technical Controller,full time,1-3 years,"Pest_county,_Budapest",Erősáramú technikus,optimum,,,none,none
216,Nemzeti Népegészségügyi és Gyógyszerészeti Központ,website,"Marketing,  Media, PR",Communication and PR,full time,not required,"Pest_county,_Budapest",Kommunikációs szakértő,optimum,,,none,none
217,MVM CEEnergy Zrt.,karrierlink,"Finance, Accounting",Controlling,full time,3-5 years,"Pest_county,_Budapest",Üzleti kontrolling szakértő,optimum,,,english,intermediate
218,Green Creator Kft.,website,"Sales, Trade",Store Manager,full time,1-3 years,"Pest_county,_Budapest",Üzletvezető Budapest XIII.,pro_plus,,,none,none
219,PLEXI TEAM BT.,website,"Sales, Trade",Sales Representative,full time,3-5 years,"Pest_county,_Budapest","Értékesítő munkatárs - B2B, reklámajándék",pro_plus,628787.0,1560.2655086848636,none,none
220,Fireeng Kft,website,Engineer,Civil Engineer,full time,not required,"Pest_county,_Budapest",Tűzvédelmi tervező,pro_plus,,,none,none
221,FINE SERVICE Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő és pénzügyes,optimum,,,none,none
222,IMOBILIARE Kft.,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,not required,"Pest_county,_Budapest",Adminisztratív ügyintéző,pro_plus,,,none,none
223,KFC,karrierlink,"Catering, Hotel, Tourism",Restaurant Catering,full time,starter,"Pest_county,_Budapest",Éttermi munkatárs - IX. kerület,pro_plus,,,none,none
224,Biggeorge Property Nyrt.,ats,"Finance, Accounting","Analyst, Advisor",full time,1-3 years,Pest_county,Kontrolling és Befektetési Elemző,pro_plus,,,english,intermediate
225,Epta International Kft.,website,Business Supporting Centres,Financial Support,full time,1-3 years,"Pest_county,_Budapest",Italian Speaking Credit Administration & Cash Application Specialist,pro_plus,,,english,intermediate
226,Johnson Controls,karrierlink,"Sales, Trade",Sales Representative,full time,1-3 years,"Pest_county,_Budapest",Sales Representative (Air Conditioning Products),optimum,,,english,intermediate
227,Nufarm Hungária Kft.,website,"Finance, Accounting",Tax Advisor,full time,5-10 years,"Pest_county,_Budapest",EMEA Indirect Tax Specialist,optimum,,,english,intermediate
228,Eaton,karrierlink,"Sales, Trade",Sales Representative,full time,not required,Budapest,Associate Inside Sales Representative - German Speaker,optimum,,,german,higheradvanced
229,Tobacco World Bt.,website,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,"Pest_county,_Budapest",Dohánybolti eladó,start_prem,534545.0,1326.4143920595534,none,none
231,KRN Credito Kft,website,"Sales, Trade",Financial Services Sales,full time,not required,"Pest_county,_Budapest",Hiteltanácsadó,pro_plus,833333.0,2067.8238213399504,none,none
232,CORNUTO Kft.,website,"Manual Work, Unskilled Work, Trained Work",Kitchen Work,full time,3-5 years,"Pest_county,_Budapest",Mosogató,start,534545.0,1326.4143920595534,none,none
233,HP 500 Kft.,website,Skilled Labour,Carpenter,full time,1-3 years,"Pest_county,_Budapest",Asztalos díszletépítő,start_prem,636363.0,1579.0645161290322,none,none
234,NR Media Kft.,website,"Marketing,  Media, PR",Online Marketing,full time,1-3 years,"Pest_county,_Budapest",PPC manager,normal,550000.0,1364.7642679900744,english,intermediate
235,Richter Gedeon Nyrt.,karrierlink,"Healthcare, Pharmaceutical Industry",Pharmacist,full time,not required,"Pest_county,_Budapest",Üzemi technológus,optimum,,,english,intermediate
238,MÁV Zrt.,karrierlink,"Law, Legal Advisory","Solicitor, Legal Advisor, Legal Counsellor",full time,1-3 years,"Pest_county,_Budapest",Jogtanácsos,optimum,,,none,none
239,Ganz Transzformátor- és Villamos Forgógépgyártó Kft.,karrierlink,"Marketing,  Media, PR",Project Manager,full time,1-3 years,Pest_county,SAP S/4Hana IT Project Manager,optimum,,,english,nativespeaker
240,TESCO-BST,karrierlink,"Corporate Leadership, Management",Strategic Adviser,full time,5-10 years,"Pest_county,_Budapest",Decision Scientist - Senior Manager,optimum,,,english,intermediate
241,TESCO-BST,karrierlink,"Bank, Insurance, Brokering",Analysis,full time,1-3 years,"Pest_county,_Budapest",CCE Analysis and Reporting Lead,optimum,,,english,intermediate
242,Fireeng Kft,website,Engineer,Civil Engineer,full time,not required,"Pest_county,_Budapest",Tűzvédelmi tervező,pro_plus,,,none,none
243,FINE SERVICE Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő és pénzügyes,optimum,,,none,none
244,MŰISZ Iskolaszövetkezet,karrierlink,Engineer,Project Management,full time,not required,"Pest_county,_Budapest",Diákmunka - Energy Sourcing Analyst Intern – Czech/Slovak speaking,normal,,,english,intermediate
245,MŰISZ Iskolaszövetkezet,karrierlink,"Transportation, Procurement, Logistics","Economization, Procurement",full time,not required,"Pest_county,_Budapest",Diákmunka - Sales Intern,normal,,,english,intermediate
246,MŰISZ Iskolaszövetkezet,karrierlink,"Marketing,  Media, PR",Marketing,full time,not required,"Pest_county,_Budapest",Diákmunka - Product Marketing Trainee,normal,,,english,intermediate
247,Mind-Diák Szövetkezet,ats,"Finance, Accounting",Controlling,full time,not required,Pest_county,Könyvvizsgáló gyakornok - Diákmunka,normal,378000.0,937.9652605459057,none,none
248,MVM Next Energiakereskedelmi Zrt.,karrierlink,IT Development,"IT Consultant, Analyst, Auditor",full time,5-10 years,"Pest_county,_Budapest",Vezető üzleti IT fejlesztési szakértő,optimum,,,none,none
249,MBH Bank Nyrt.,karrierlink,"Bank, Insurance, Brokering",Bank Security,full time,1-3 years,Pest_county,Információ biztonsági munkatárs,optimum,,,none,none
250,MBH Bank Nyrt.,karrierlink,"Law, Legal Advisory",Legal advisor,full time,1-3 years,Pest_county,Szenior jogtanácsos,optimum,,,english,intermediate
251,Menton Jobs,ats,"Manufacturing, Production",Quality Control,full time,1-3 years,Pest_county,Minőségellenőr,optimum,,,none,none
252,Menton Jobs,ats,"Manufacturing, Production",Supervisor,full time,starter,Pest_county,Termelési műszakvezető,optimum,,,none,none
253,HELVETIC CLINICS Kft.,ats,"Catering, Hotel, Tourism",Hotel Receptionist,full time,1-3 years,"Pest_county,_Budapest",Szállodai recepciós,optimum,,,english,intermediate
254,DLM Consulting Kft.,website,"Finance, Accounting",Accounting,full time,3-5 years,"Pest_county,_Budapest",Senior könyvelő,optimum,,,none,none
255,Unix Autó Kft.,karrierlink,"Transportation, Procurement, Logistics","Transportation, Logistics Manager",full time,1-3 years,Budapest,Raktári műszakvezető,optimum,,,none,none
256,UNIX AUTÓ KFT.,karrierlink,"Sales, Trade",Regional Sales Representative,full time,1-3 years,"Pest_county,_Budapest",Területi értékesítési képviselő (Budapest XI.),optimum,,,none,none
257,Budapest Airport Zrt.,karrierlink,"Transportation, Procurement, Logistics","Economization, Procurement",full time,3-5 years,Pest_county,Beruházási projektbeszerző,optimum,,,english,intermediate
258,Unix Autó Kft.,karrierlink,"Transportation, Procurement, Logistics","Transportation, Logistics Manager",full time,1-3 years,"Pest_county,_Budapest",Szállítmányozási Csoportvezető,optimum,,,none,none
259,Unix Autó Kft.,karrierlink,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,not required,Budapest,Raktári munkatárs - Nappali 2 műszakban,optimum,,,none,none
260,ISYS-ON Informatikai Tanácsadó Kft.,website,"IT Operation, Telecommunication","Corporate Management System, SAP",full time,1-3 years,"Pest_county,_Budapest",ERP projektvezető,pro_plus,,,english,intermediate
