index,affiliation,application_type,prof_category_1,prof_category_2,employment_type,expected_experience,location,prof_name,subscr_product_name,gross_monthly_salary HUF,gross_monthly_salary EUR,language_nationality,language_level
1816,Long Bridge Dessewffy utca Kft.,website,"Manual Work, Unskilled Work, Trained Work",Cleaning,full time,1-3 years,"Pest_county,_Budapest",Housekeeping Supervisor,start_prem,,,english,basic
1817,Pappas Auto Magyarország Kft.,karrierlink,Skilled Labour,Automotive Service Advisor,full time,not required,"Pest_county,_Budapest",Személygépjármű munkafelvevő (Mercedes-Benz üzletág),normal,,,none,none
1818,Yettel Hungary Ltd.,karrierlink,"IT Operation, Telecommunication",Telecommunication,full time,3-5 years,"Pest_county,_Törökbálint",Governance & Data Privacy Expert,optimum,,,english,higheradvanced
1819,KVV Zrt.,website,"Building Industry, Real Estate","Building Contractor, General Contractor",full time,not required,Pest_county,Építésvezető,optimum,,,none,none
1820,Yettel Hungary Ltd.,karrierlink,"IT Operation, Telecommunication",Telecommunication,full time,5-10 years,"Pest_county,_Törökbálint",Jogtanácsos,optimum,,,english,higheradvanced
1821,ARGOSZ Logisztika Kft.,website,"Transportation, Procurement, Logistics",Logistics administrator,full time,1-3 years,"Pest_county,_Budapest",Raktári adminisztrátor,pro_plus,643939.0,1597.863523573201,none,none
1822,Mercarius Kft.,website,"Transportation, Procurement, Logistics",Fleet Manager,full time,1-3 years,"Pest_county,_Budapest",Flotta adminisztrátor,optimum,,,none,none
1823,NEMZETI SZAKKÉPZÉSI ÉS FELNŐTTKÉPZÉSI HIVATAL,website,Public Administration,Government official,full time,not required,"Pest_county,_Budapest",Elemző,optimum,,,none,none
1824,UNIQA Raiffeisen Software Service Kft.,website,"HR, Human Relations",HR Administration,full time,3-5 years,"Pest_county,_Budapest",HR adminisztrátor,optimum,,,english,intermediate
1825,Eaton,karrierlink,"Transportation, Procurement, Logistics","Economization, Procurement",full time,5-10 years,"Pest_county,_Budapest",Inventory Specialist,optimum,,,english,higheradvanced
1826,GVS Hungary Kft,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi munkatárs,optimum,600000.0,1488.833746898263,english,intermediate
1827,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
1828,Egis Gyógyszergyár Zrt.,karrierlink,Engineer,Mechanical Engineer,full time,5-10 years,"Pest_county,_Budapest",3rd Party Technology Transfer Manager,optimum,,,english,higheradvanced
1829,Építési és Közlekedési Minisztérium,website,Public Administration,Public Servant,full time,1-3 years,"Pest_county,_Budapest",Projekt referens,optimum,,,none,none
1830,UNI Smart Iskolaszövetkezet,website,"HR, Human Relations","Recruitment, Selection",full time,not required,"Pest_county,_Budapest",HR-Toborzó gyakornok,normal,336840.0,835.8312655086849,english,basic
1831,B+N Referencia Zrt.,ats,Skilled Labour,Other Skilled Work,full time,1-3 years,Pest_county,Karbantartó gondnok (villanyszerelő),start_prem,,,none,none
1832,B+N Referencia Zrt.,ats,Skilled Labour,Other Skilled Work,full time,1-3 years,Pest_county,Karbantartó gondnok (villanyszerelő),start_prem,,,none,none
1833,BECK AND PARTNERS Kft.,ats,"Sales, Trade",Sales Representative,full time,1-3 years,Pest_county,Junior key account menedzser,normal,,,english,higheradvanced
